"X-Y Positioning file"     
"V2 Swallow boards"     
"Generated 25/09/2012"     
     
Ref Value X Y Rotation Side
C1 4.7uF 5.1496 5.9646 270 Front
C2 470pF 5.3406 6.3012 0 Front
C3 0.01uF 2.1467 2.501 180 Front
C4 0.22uF 5.311 5.8563 90 Front
C5 10uF 5.4941 5.9626 270 Front
C6 10uF 5.3819 5.9665 270 Front
C7 10uF 5.0374 3.7854 90 Front
C8 33pF 5.0413 3.9173 0 Front
C9 10uF 5.2146 3.6959 180 Front
C10 10uF 2.3976 4.2854 270 Front
C11 33pF 2.3858 4.1555 180 Front
C12 10uF 2.252 4.3622 0 Front
C13 0.1uF 3.3642 5.6713 270 Front
C14 100nF 3.3051 5.3386 0 Front
C15 100nF 2.9705 5.7894 180 Front
C16 100nF 3.3051 5.7894 0 Front
C17 100nF 2.9724 5.3386 180 Front
C18 10uF 2.9469 5.2835 180 Front
C19 100nF 3.3642 5.7461 270 Front
C20 100nF 3.3642 5.3917 90 Front
C21 100nF 2.8917 5.7244 270 Front
C22 100nF 2.9193 5.3976 90 Front
C23 10uF 2.8543 5.3839 90 Front
C24 0.1uF 3.3642 4.5512 270 Front
C25 100nF 3.3051 4.2185 0 Front
C26 100nF 2.9705 4.6634 180 Front
C27 100nF 3.3051 4.6634 0 Front
C28 100nF 2.9724 4.2185 180 Front
C29 10uF 2.9508 4.1594 180 Front
C30 100nF 3.3642 4.626 270 Front
C31 100nF 3.3642 4.2717 90 Front
C32 100nF 2.8917 4.6043 270 Front
C33 100nF 2.9193 4.2776 90 Front
C34 10uF 2.8583 4.2677 90 Front
C35 10uF 2.2638 6.0276 270 Front
C36 33pF 2.25 5.8957 180 Front
C37 10uF 2.1181 6.122 0 Front
C38 0.1uF 4.4626 5.6713 270 Front
C39 100nF 4.4035 5.3386 0 Front
C40 100nF 4.0689 5.7894 180 Front
C41 100nF 4.4035 5.7894 0 Front
C42 100nF 4.0709 5.3386 180 Front
C43 10uF 4.0472 5.2795 180 Front
C44 100nF 4.4626 5.7461 270 Front
C45 100nF 4.4626 5.3917 90 Front
C46 100nF 3.9902 5.7244 270 Front
C47 100nF 4.0177 5.3976 90 Front
C48 10uF 3.9567 5.3917 90 Front
C49 0.1uF 4.4626 4.5512 270 Front
C50 100nF 4.4035 4.2185 0 Front
C51 100nF 4.0689 4.6634 180 Front
C52 100nF 4.4035 4.6634 0 Front
C53 100nF 4.0709 4.2185 180 Front
C54 10uF 4.0472 4.1614 180 Front
C55 100nF 4.4626 4.626 270 Front
C56 100nF 4.4626 4.2717 90 Front
C57 100nF 3.9902 4.6043 270 Front
C58 100nF 4.0177 4.2776 90 Front
C59 10uF 3.9528 4.2697 90 Front
C60 10uF 2.5433 1.8248 270 Front
C61 33pF 2.5906 1.6969 180 Front
C62 10uF 2.4213 1.9094 0 Front
C63 0.1uF 3.3642 3.4311 270 Front
C64 100nF 3.3051 3.0984 0 Front
C65 100nF 2.9705 3.5433 180 Front
C66 100nF 3.3051 3.5433 0 Front
C67 100nF 2.9724 3.0984 180 Front
C68 10uF 2.9469 3.0394 180 Front
C69 100nF 3.3642 3.5059 270 Front
C70 100nF 3.3642 3.1516 90 Front
C71 100nF 2.8917 3.4843 270 Front
C72 100nF 2.9193 3.1575 90 Front
C73 10uF 2.8602 3.1457 90 Front
C74 0.1uF 3.3642 2.311 270 Front
C75 100nF 3.3051 1.9783 0 Front
C76 100nF 2.9705 2.4232 180 Front
C77 100nF 3.3051 2.4232 0 Front
C78 100nF 2.9724 1.9783 180 Front
C79 10uF 2.9508 1.9213 180 Front
C80 100nF 3.3642 2.3858 270 Front
C81 100nF 3.3642 2.0315 90 Front
C82 100nF 2.8917 2.3642 270 Front
C83 100nF 2.9193 2.0374 90 Front
C84 10uF 2.8622 2.0295 90 Front
C85 10uF 2.3504 3.7579 270 Front
C86 33pF 2.3858 3.6299 180 Front
C87 10uF 2.2087 3.8425 0 Front
C88 0.1uF 4.4626 2.311 270 Front
C89 100nF 4.4035 1.9783 0 Front
C90 100nF 4.0689 2.4232 180 Front
C91 100nF 4.4035 2.4232 0 Front
C92 100nF 4.0709 1.9783 180 Front
C93 10uF 4.0512 1.9193 180 Front
C94 100nF 4.4626 2.3858 270 Front
C95 100nF 4.4626 2.0315 90 Front
C96 100nF 3.9902 2.3642 270 Front
C97 100nF 4.0177 2.0374 90 Front
C98 10uF 3.9587 2.0276 90 Front
C99 0.1uF 4.4626 3.4311 270 Front
C100 100nF 4.4035 3.0984 0 Front
C101 100nF 4.0689 3.5433 180 Front
C102 100nF 4.4035 3.5433 0 Front
C103 100nF 4.0709 3.0984 180 Front
C104 10uF 4.0453 3.0315 180 Front
C105 100nF 4.4626 3.5059 270 Front
C106 100nF 4.4626 3.1516 90 Front
C107 100nF 3.9902 3.4843 270 Front
C108 100nF 4.0177 3.1575 90 Front
C109 10uF 3.9626 3.1496 90 Front
D1 DIODE_SCH 5.3248 5.6398 90 Front
D2 E 3.4547 5.3386 180 Front
D3 N 3.4075 5.2559 270 Front
D4 S 2.8898 5.8858 90 Front
D5 W 2.7953 5.8091 0 Front
D6 E 3.4646 4.2204 180 Front
D7 N 3.4094 4.1299 270 Front
D8 S 2.8996 4.7697 90 Front
D9 W 2.7913 4.6653 0 Front
D10 E 4.5551 5.3209 180 Front
D11 N 4.5089 5.2402 270 Front
D12 S 4.0098 5.8976 90 Front
D13 W 3.8937 5.7716 0 Front
D14 E 4.5551 4.2205 180 Front
D15 N 4.5039 4.126 270 Front
D16 S 3.9606 4.7598 90 Front
D17 W 3.8937 4.6811 0 Front
D18 E 3.4705 3.1043 180 Front
D19 N 3.3976 3.0019 270 Front
D20 S 2.9272 3.6594 90 Front
D21 W 2.7815 3.5452 0 Front
D22 E 3.4606 1.9824 180 Front
D23 N 3.3524 1.8584 270 Front
D24 S 2.9094 2.5375 90 Front
D25 W 2.7835 2.4194 0 Front
D26 E 4.5531 1.9705 180 Front
D27 N 4.4587 1.88 270 Front
D28 S 4.0079 2.5375 90 Front
D29 W 3.8898 2.4115 0 Front
D30 E 4.565 3.0984 180 Front
D31 N 4.4783 2.9999 270 Front
D32 S 4.0295 3.6476 90 Front
D33 W 3.8819 3.5334 0 Front
D34 5V_OK 5.2116 4.2963 0 Front
D35 3V3_OK 5.2106 4.1998 0 Front
D36 Z 4.0591 5.0797 180 Front
D37 Z 2.9734 5.0935 180 Front
D38 Z 3.6476 4.44 270 Front
D39 Z 4.1132 3.8986 180 Front
D40 Z 2.9754 2.8396 180 Front
D41 Z 3.6722 2.1329 270 Front
D42 Z 4.0984 1.6703 180 Front
D43 Z 4.0906 2.7972 90 Front
L1 2u2H 5.435 5.752 270 Front
L2 2u2H 5.3681 3.8224 0 Front
L3 2u2H 2.06 4.2559 180 Front
L4 2u2H 1.9067 5.9941 180 Front
L5 2u2H 2.2551 1.7906 180 Front
L6 2u2H 2.0567 3.7303 180 Front
P2 CONN_30 1.5334 2.2323 270 Front
P3 CONN_30 1.5335 3.0984 270 Front
P4 CONN_30 1.5335 4.8189 270 Front
P6 CONN_30 3.0983 1.0196 180 Front
P7 CONN_30 3.2067 6.5177 0 Front
P8 CONN_30 4.1911 1.0138 180 Front
P9 CONN_30 4.189 6.5138 0 Front
P10 CONN_30 5.612 2.2322 90 Front
P11 CONN_30 5.6122 3.0984 90 Front
P12 CONN_30 5.6142 4.8189 90 Front
R1 16.2k 5.3071 6.2106 270 Front
R2 11.5k 5.3905 6.1054 0 Front
R3 33R 2.2165 2.8514 0 Front
R4 33R 2.2165 2.7815 180 Front
R5 3k 2.8169 3.9606 270 Front
R6 100k 5.2015 6.1172 180 Front
R7 536k 5.235 6.2018 90 Front
R8 10k 2.4764 2.4154 90 Front
R9 33R 2.4764 2.8799 0 Front
R10 33R 2.6673 2.9803 180 Front
R11 33R 3.7933 2.6969 180 Front
R12 33R 3.815 2.7697 180 Front
R13 33R 3.5984 4.9075 0 Front
R14 33R 3.8622 5 180 Front
R15 33R 2.4803 5.128 0 Front
R16 33R 2.7126 5.2283 180 Front
R17 10k 5.5118 1.6516 0 Front
R18 453k 5.0404 3.9853 0 Front
R19 100k 5.1329 4.0187 270 Front
R20 10k 5.5118 1.7244 0 Front
R21 10k 5.0335 1.7185 180 Front
R22 10k 2.6752 6.1772 270 Front
R23 10k 5.0335 1.6516 180 Front
R24 10k 4.8957 2.4488 0 Front
R25 33R 5.1673 3.1654 270 Front
R26 33R 2.5866 6.185 90 Front
R27 4k7 2.8346 6.0266 90 Front
R28 4k7 4.9006 3.2844 270 Front
R29 33R 2.7264 4.5472 180 Front
R30 33R 2.6122 2.3681 180 Front
R31 33R 2.7244 5.687 180 Front
R32 33R 2.7126 3.4311 180 Front
R33 33R 3.1535 5.9311 270 Front
R34 33R 3.6102 2.3012 180 Front
R35 33R 4.25 5.9429 270 Front
R36 33R 4.7008 2.2953 180 Front
R37 33R 4.2303 2.937 270 Front
R38 33R 4.2303 1.813 270 Front
R39 33R 4.2224 5.1969 270 Front
R40 33R 4.2303 4.0315 270 Front
R41 33R 2.7421 5.0236 270 Front
R42 68k 2.386 4.0923 180 Front
R43 100k 2.2935 4.0589 90 Front
R44 433R 3.5295 5.3996 0 Front
R45 433R 3.3307 5.2244 0 Front
R46 433R 2.9547 5.9035 270 Front
R47 433R 2.7244 5.7539 180 Front
R48 2R2 3.4646 5.687 90 Front
R49 433R 3.5256 4.2776 0 Front
R50 433R 3.3287 4.1004 0 Front
R51 433R 2.9685 4.7874 270 Front
R52 433R 2.7264 4.6083 180 Front
R53 2R2 3.4528 4.5512 90 Front
R54 33R 3.7283 4.6614 180 Front
R55 68k 2.25 5.8327 180 Front
R56 100k 2.1575 5.7993 90 Front
R57 433R 4.6122 5.3799 0 Front
R58 433R 4.4272 5.2146 0 Front
R59 433R 4.0689 5.9232 270 Front
R60 433R 3.811 5.7087 180 Front
R61 2R2 4.563 5.6949 90 Front
R62 433R 4.622 4.2756 0 Front
R63 433R 4.4272 4.1024 0 Front
R64 433R 4.0217 4.7795 270 Front
R65 433R 3.8287 4.5768 180 Front
R66 2R2 4.561 4.5591 90 Front
R67 33R 2.748 2.7815 90 Front
R68 68k 2.5905 1.6341 180 Front
R69 100k 2.498 1.6007 90 Front
R70 433R 3.5276 3.1673 0 Front
R71 433R 3.3189 3 0 Front
R72 433R 2.9843 3.7028 270 Front
R73 433R 2.7126 3.4902 180 Front
R74 2R2 3.4626 3.431 90 Front
R75 433R 3.5177 2.0354 0 Front
R76 433R 3.2854 1.8209 90 Front
R77 433R 2.9705 2.5374 270 Front
R78 433R 2.7185 2.3681 180 Front
R79 2R2 3.4862 2.3425 90 Front
R80 33R 3.6949 2.4331 180 Front
R81 68k 2.3856 3.5663 180 Front
R82 100k 2.2855 3.5316 90 Front
R83 433R 4.6024 2.0295 0 Front
R84 433R 4.3819 1.8169 90 Front
R85 433R 4.0669 2.5453 270 Front
R86 433R 3.8386 2.3524 180 Front
R87 2R2 4.5531 2.3228 90 Front
R88 433R 4.6083 3.1575 0 Front
R89 433R 4.4154 2.9626 90 Front
R90 433R 4.0945 3.6929 270 Front
R91 433R 3.8268 3.4724 180 Front
R92 2R2 4.5551 3.431 90 Front
R93 1k 5.064 4.2963 0 Front
R94 433R 5.065 4.1998 0 Front
R95 0R05 5.3866 3.7087 180 Front
R96 0R05 2.0659 4.3701 180 Front
R97 0R05 1.889 6.1114 180 Front
R98 0R05 2.2311 1.9185 0 Front
R99 0R05 2.0539 3.8445 180 Front
R100 10k 4.5846 3.5354 270 Front
R101 433R 4.0699 5.1427 180 Front
R102 433R 2.9823 5.1624 180 Front
R103 433R 3.6476 4.3209 270 Front
R104 433R 4.0955 4.0246 90 Front
R105 433R 2.9843 2.9055 180 Front
R106 433R 3.6732 2.0118 270 Front
R107 433R 4.0906 1.7608 90 Front
R108 433R 4.0738 2.8957 180 Front
R109 33R 2.5839 5.415 90 Front
R110 33R 2.5181 5.4146 90 Front
R111 3k 2.622 1.1673 180 Front
U1 APX803-SR 2.687 4.0432 90 Front
U2 NC7WZ17 2.0955 2.8051 270 Front
U3 ASE_CLK_25MHz 2.1516 2.6024 180 Front
U4 LT3480 5.2585 5.9971 180 Front
U5 SN74CBTD3861 1.9724 1.7205 0 Front
U6 APX803-SR 2.8799 4.0432 90 Front
U7 NC7WZ17 2.5433 2.9547 270 Front
U8 NC7WZ17 3.6279 2.7145 270 Front
U9 NC7WZ17 3.7047 4.9744 270 Front
U10 NC7WZ17 2.5591 5.2028 270 Front
U11 74AHC1GU04 1.7146 1.4606 270 Front
U12 SN74LVC1G18 3.9173 1.3819 0 Front
U13 SN74LVC1G18 5.2795 1.939 270 Front
U14 SN74LVC1G18 3.9193 6.1831 180 Front
U15 SN74LVC1G18 1.7126 1.7717 180 Front
U16 SN74CBTD3861 2.6063 1.376 90 Front
U17 NCP1529 5.1919 3.8928 90 Front
U18 A6RS-161RF 5.2795 1.4311 180 Front
U19 NC7WZ17 4.998 3.3169 0 Front
U20 NC7WZ07 5.0965 3.3169 0 Front
U21 NC7WZ17 5.1929 3.3169 0 Front
U22 NC7WZ17 2.7481 6.0256 180 Front
U23 NC7WZ07 2.6556 6.0256 180 Front
U24 NC7WZ17 2.5611 6.0256 180 Front
U25 YC124 2.7953 4.3819 90 Front
U26 YC124 2.7402 2.1417 270 Front
U27 YC124 2.8543 5.502 90 Front
U28 YC124 2.7904 3.2618 90 Front
U29 YC124 3.1024 5.8091 0 Front
U30 YC124 3.4744 2.2205 90 Front
U31 YC124 4.2008 5.8071 0 Front
U32 YC124 4.6949 2.2205 270 Front
U33 YC124 4.2795 3.061 0 Front
U34 YC124 4.2795 1.9478 0 Front
U35 YC124 4.2795 5.3031 0 Front
U36 YC124 4.2795 4.1594 0 Front
U37 NC7WZ17 2.5591 5.0354 270 Front
U38 NC7WZ17 2.5591 4.7972 270 Front
U39 NCP1529 2.2345 4.1848 270 Front
U40 XS1_L2-QFN124 3.1417 5.561 0 Front
U41 XS1_L2-QFN124 3.1417 4.4411 0 Front
U42 NC7WZ17 3.7047 4.75 270 Front
U43 NC7WZ17 3.7047 4.8406 270 Front
U44 NCP1529 2.0985 5.9252 270 Front
U45 XS1_L2-QFN124 4.2401 5.5611 0 Front
U46 XS1_L2-QFN124 4.2401 4.4412 0 Front
U48 NC7WZ17 2.5433 2.5335 270 Front
U49 NCP1529 2.439 1.7266 270 Front
U50 XS1_L2-QFN124 3.1418 3.3206 0 Front
U51 XS1_L2-QFN124 3.1418 2.2009 0 Front
U52 NC7WZ17 3.6278 2.5137 270 Front
U53 NC7WZ17 3.6278 2.6063 270 Front
U54 NCP1529 2.2341 3.6588 270 Front
U55 XS1_L2-QFN124 4.2402 2.2007 0 Front
U56 XS1_L2-QFN124 4.2402 3.3209 0 Front
U57 S25FL064K 3.65 3.59 0 Front
U58 NC7WZ17 2.5587 5.3083 180 Front
## End    
