Module positions 0 created on Fri 2 Aug 2013 10:19:29 BST ###
Printed by Pcbnew version pcbnew (2013-mar-13)-testing      
Unit = mm, Angle = deg.      
Side : Front         
Ref Val Package PosX PosY Rot Side     
C1 4.7uF SM0805 130.7998 -151.5008 270 Front     
C2 470pF SM0603 135.6512 -160.0505 0 Front     
C3 0.01uF SM0603 54.5262 -63.5254 180 Front     
C4 0.22uF SM0603 134.8994 -148.75 90 Front     
C5 10uF SM0805 139.5501 -151.45 270 Front     
C6 10uF SM0805 136.7003 -151.5491 270 Front     
C7 10uF SM0805 127.95 -96.1492 90 Front     
C8 33pF SM0603 128.049 -99.4994 0 Front     
C9 10uF SM0805 132.4508 -93.8759 180 Front     
C10 10uF SM0805 60.899 -108.8492 270 Front     
C11 33pF SM0603 60.5993 -105.5497 180 Front     
C12 10uF SM0805 57.2008 -110.7999 0 Front     
C13 0.1uF SM0402 85.4507 -144.051 270 Front     
C14 100nF SM0402 83.9495 -135.6004 0 Front     
C15 100nF SM0402 75.4507 -147.0508 180 Front     
C16 100nF SM0402 83.9495 -147.0508 0 Front     
C17 100nF SM0402 75.499 -135.6004 180 Front     
C18 10uF SM0805 74.8513 -134.2009 180 Front     
C19 100nF SM0402 85.4507 -145.9509 270 Front     
C20 100nF SM0402 85.4507 -136.9492 90 Front     
C21 100nF SM0402 73.4492 -145.3998 270 Front     
C22 100nF SM0402 74.1502 -137.099 90 Front     
C23 10uF SM0805 72.4992 -136.7511 90 Front     
C24 0.1uF SM0402 85.4507 -115.6005 270 Front     
C25 100nF SM0402 83.9495 -107.1499 0 Front     
C26 100nF SM0402 75.4507 -118.4504 180 Front     
C27 100nF SM0402 83.9495 -118.4504 0 Front     
C28 100nF SM0402 75.499 -107.1499 180 Front     
C29 10uF SM0805 74.9503 -105.6488 180 Front     
C30 100nF SM0402 85.4507 -117.5004 270 Front     
C31 100nF SM0402 85.4507 -108.5012 90 Front     
C32 100nF SM0402 73.4492 -116.9492 270 Front     
C33 100nF SM0402 74.1502 -108.651 90 Front     
C34 10uF SM0805 72.6008 -108.3996 90 Front     
C35 10uF SM0805 57.5005 -153.101 270 Front     
C36 33pF SM0603 57.15 -149.7508 180 Front     
C37 10uF SM0805 53.7997 -155.4988 0 Front     
C38 0.1uF SM0402 113.35 -144.051 270 Front     
C39 100nF SM0402 111.8489 -135.6004 0 Front     
C40 100nF SM0402 103.3501 -147.0508 180 Front     
C41 100nF SM0402 111.8489 -147.0508 0 Front     
C42 100nF SM0402 103.4009 -135.6004 180 Front     
C43 10uF SM0805 102.7989 -134.0993 180 Front     
C44 100nF SM0402 113.35 -145.9509 270 Front     
C45 100nF SM0402 113.35 -136.9492 90 Front     
C46 100nF SM0402 101.3511 -145.3998 270 Front     
C47 100nF SM0402 102.0496 -137.099 90 Front     
C48 10uF SM0805 100.5002 -136.9492 90 Front     
C49 0.1uF SM0402 113.35 -115.6005 270 Front     
C50 100nF SM0402 111.8489 -107.1499 0 Front     
C51 100nF SM0402 103.3501 -118.4504 180 Front     
C52 100nF SM0402 111.8489 -118.4504 0 Front     
C53 100nF SM0402 103.4009 -107.1499 180 Front     
C54 10uF SM0805 102.7989 -105.6996 180 Front     
C55 100nF SM0402 113.35 -117.5004 270 Front     
C56 100nF SM0402 113.35 -108.5012 90 Front     
C57 100nF SM0402 101.3511 -116.9492 270 Front     
C58 100nF SM0402 102.0496 -108.651 90 Front     
C59 10uF SM0805 100.4011 -108.4504 90 Front     
C60 10uF SM0805 64.5998 -46.3499 270 Front     
C61 33pF SM0603 65.8012 -43.1013 180 Front     
C62 10uF SM0805 61.501 -48.4988 0 Front     
C63 0.1uF SM0402 85.4507 -87.1499 270 Front     
C64 100nF SM0402 83.9495 -78.6994 0 Front     
C65 100nF SM0402 75.4507 -89.9998 180 Front     
C66 100nF SM0402 83.9495 -89.9998 0 Front     
C67 100nF SM0402 75.499 -78.6994 180 Front     
C68 10uF SM0805 74.8513 -77.2008 180 Front     
C69 100nF SM0402 85.4507 -89.0499 270 Front     
C70 100nF SM0402 85.4507 -80.0506 90 Front     
C71 100nF SM0402 73.4492 -88.5012 270 Front     
C72 100nF SM0402 74.1502 -80.2005 90 Front     
C73 10uF SM0805 72.6491 -79.9008 90 Front     
C74 0.1uF SM0402 85.4507 -58.6994 270 Front     
C75 100nF SM0402 83.9495 -50.2488 0 Front     
C76 100nF SM0402 75.4507 -61.5493 180 Front     
C77 100nF SM0402 83.9495 -61.5493 0 Front     
C78 100nF SM0402 75.499 -50.2488 180 Front     
C79 10uF SM0805 74.9503 -48.801 180 Front     
C80 100nF SM0402 85.4507 -60.5993 270 Front     
C81 100nF SM0402 85.4507 -51.6001 90 Front     
C82 100nF SM0402 73.4492 -60.0507 270 Front     
C83 100nF SM0402 74.1502 -51.75 90 Front     
C84 10uF SM0805 72.6999 -51.5493 90 Front     
C85 10uF SM0805 59.7002 -95.4507 270 Front     
C86 33pF SM0603 60.5993 -92.1995 180 Front     
C87 10uF SM0805 56.101 -97.5995 0 Front     
C88 0.1uF SM0402 113.35 -58.6994 270 Front     
C89 100nF SM0402 111.8489 -50.2488 0 Front     
C90 100nF SM0402 103.3501 -61.5493 180 Front     
C91 100nF SM0402 111.8489 -61.5493 0 Front     
C92 100nF SM0402 103.4009 -50.2488 180 Front     
C93 10uF SM0805 102.9005 -48.7502 180 Front     
C94 100nF SM0402 113.35 -60.5993 270 Front     
C95 100nF SM0402 113.35 -51.6001 90 Front     
C96 100nF SM0402 101.3511 -60.0507 270 Front     
C97 100nF SM0402 102.0496 -51.75 90 Front     
C98 10uF SM0805 100.551 -51.501 90 Front     
C99 0.1uF SM0402 113.35 -87.1499 270 Front     
C100 100nF SM0402 111.8489 -78.6994 0 Front     
C101 100nF SM0402 103.3501 -89.9998 180 Front     
C102 100nF SM0402 111.8489 -89.9998 0 Front     
C103 100nF SM0402 103.4009 -78.6994 180 Front     
C104 10uF SM0805 102.7506 -77.0001 180 Front     
C105 100nF SM0402 113.35 -89.0499 270 Front     
C106 100nF SM0402 113.35 -80.0506 90 Front     
C107 100nF SM0402 101.3511 -88.5012 270 Front     
C108 100nF SM0402 102.0496 -80.2005 90 Front     
C109 10uF SM0805 100.65 -79.9998 90 Front     
D1 DIODE_SCH DFLS240L 135.2499 -143.2509 90 Front     
D2 E SM0603 87.7494 -135.6004 180 Front     
D3 N SM0603 86.5505 -133.4999 270 Front     
D4 S SM0603 73.4009 -149.4993 90 Front     
D5 W SM0603 71.0006 -147.5511 0 Front     
D6 E SM0603 88.0008 -107.1982 180 Front     
D7 N SM0603 86.5988 -104.8995 270 Front     
D8 S SM0603 73.6498 -121.1504 90 Front     
D9 W SM0603 70.899 -118.4986 0 Front     
D10 E SM0603 115.6995 -135.1509 180 Front     
D11 N SM0603 114.5261 -133.1011 270 Front     
D12 S SM0603 101.8489 -149.799 90 Front     
D13 W SM0603 98.9 -146.5986 0 Front     
D14 E SM0603 115.6995 -107.2007 180 Front     
D15 N SM0603 114.3991 -104.8004 270 Front     
D16 S SM0603 100.5992 -120.8989 90 Front     
D17 W SM0603 98.9 -118.8999 0 Front     
D18 E SM0603 88.1507 -78.8492 180 Front     
D19 N SM0603 86.299 -76.2483 270 Front     
D20 S SM0603 74.3509 -92.9488 90 Front     
D21 W SM0603 70.6501 -90.0481 0 Front     
D22 E SM0603 87.8992 -50.353 180 Front     
D23 N SM0603 85.151 -47.2034 270 Front     
D24 S SM0603 73.8988 -64.4525 90 Front     
D25 W SM0603 70.7009 -61.4528 0 Front     
D26 E SM0603 115.6487 -50.0507 180 Front     
D27 N SM0603 113.251 -47.752 270 Front     
D28 S SM0603 101.8007 -64.4525 90 Front     
D29 W SM0603 98.8009 -61.2521 0 Front     
D30 E SM0603 115.951 -78.6994 180 Front     
