ref,value,footprint
C101,4.7uF,X-SM0805
C102,470pF,X-SM0603
C103,0.22uF,X-SM0603
C104,10uF,X-SM0805
C105,10uF,X-SM0805
C106,33pF,X-SM0603
C107,10uF,X-SM0603
C108,0.01uF,X-SM0603
C109,10uF,X-SM0805
C201,10uF,X-SM0805
C202,33pF,X-SM0603
C203,10uF,X-SM0805
C301,0.1uF,0204
C302,100nF,0204
C303,100nF,0204
C304,100nF,0204
C305,100nF,0204
C306,10uF,X-SM0805
C307,100nF,0204
C308,100nF,0204
C309,100nF,0204
C310,100nF,0204
C311,10uF,X-SM0805
C401,0.1uF,0204
C402,100nF,0204
C403,100nF,0204
C404,100nF,0204
C405,100nF,0204
C406,10uF,X-SM0805
C407,100nF,0204
C408,100nF,0204
C409,100nF,0204
C410,100nF,0204
C411,10uF,X-SM0805
C501,10uF,X-SM0805
C502,33pF,X-SM0603
C503,10uF,X-SM0805
C601,0.1uF,0204
C602,100nF,0204
C603,100nF,0204
C604,100nF,0204
C605,100nF,0204
C606,10uF,X-SM0805
C607,100nF,0204
C608,100nF,0204
C609,100nF,0204
C610,100nF,0204
C611,10uF,X-SM0805
C701,0.1uF,0204
C702,100nF,0204
C703,100nF,0204
C704,100nF,0204
C705,100nF,0204
C706,10uF,X-SM0805
C707,100nF,0204
C708,100nF,0204
C709,100nF,0204
C710,100nF,0204
C711,10uF,X-SM0805
C801,10uF,X-SM0805
C802,33pF,X-SM0603
C803,10uF,X-SM0805
C901,0.1uF,0204
C902,100nF,0204
C903,100nF,0204
C904,100nF,0204
C905,100nF,0204
C906,10uF,X-SM0805
C907,100nF,0204
C908,100nF,0204
C909,100nF,0204
C910,100nF,0204
C911,10uF,X-SM0805
C1001,0.1uF,0204
C1002,100nF,0204
C1003,100nF,0204
C1004,100nF,0204
C1005,100nF,0204
C1006,10uF,X-SM0805
C1007,100nF,0204
C1008,100nF,0204
C1009,100nF,0204
C1010,100nF,0204
C1011,10uF,X-SM0805
C1101,10uF,X-SM0805
C1102,33pF,X-SM0603
C1103,10uF,X-SM0805
C1201,0.1uF,0204
C1202,100nF,0204
C1203,100nF,0204
C1204,100nF,0204
C1205,100nF,0204
C1206,10uF,X-SM0805
C1207,100nF,0204
C1208,100nF,0204
C1209,100nF,0204
C1210,100nF,0204
C1211,10uF,X-SM0805
C1301,0.1uF,0204
C1302,100nF,0204
C1303,100nF,0204
C1304,100nF,0204
C1305,100nF,0204
C1306,10uF,X-SM0805
C1307,100nF,0204
C1308,100nF,0204
C1309,100nF,0204
